raceId,circuitId,year,round,title,when
833,9,1950,1,British Grand Prix,1950-05-13T00:00:00
834,6,1950,2,Monaco Grand Prix,1950-05-21T00:00:00
835,19,1950,3,Indianapolis 500,1950-05-30T00:00:00
836,66,1950,4,Swiss Grand Prix,1950-06-04T00:00:00
837,13,1950,5,Belgian Grand Prix,1950-06-18T00:00:00
838,55,1950,6,French Grand Prix,1950-07-02T00:00:00
839,14,1950,7,Italian Grand Prix,1950-09-03T00:00:00
825,66,1951,1,Swiss Grand Prix,1951-05-27T00:00:00
826,19,1951,2,Indianapolis 500,1951-05-30T00:00:00
827,13,1951,3,Belgian Grand Prix,1951-06-17T00:00:00
828,55,1951,4,French Grand Prix,1951-07-01T00:00:00
829,9,1951,5,British Grand Prix,1951-07-14T00:00:00
830,20,1951,6,German Grand Prix,1951-07-29T00:00:00
831,14,1951,7,Italian Grand Prix,1951-09-16T00:00:00
832,67,1951,8,Spanish Grand Prix,1951-10-28T00:00:00
817,66,1952,1,Swiss Grand Prix,1952-05-18T00:00:00
818,19,1952,2,Indianapolis 500,1952-05-30T00:00:00
819,13,1952,3,Belgian Grand Prix,1952-06-22T00:00:00
820,53,1952,4,French Grand Prix,1952-07-06T00:00:00
821,9,1952,5,British Grand Prix,1952-07-19T00:00:00
822,20,1952,6,German Grand Prix,1952-08-03T00:00:00
823,39,1952,7,Dutch Grand Prix,1952-08-17T00:00:00
824,14,1952,8,Italian Grand Prix,1952-09-07T00:00:00
808,25,1953,1,Argentine Grand Prix,1953-01-18T00:00:00
809,19,1953,2,Indianapolis 500,1953-05-30T00:00:00
810,39,1953,3,Dutch Grand Prix,1953-06-07T00:00:00
811,13,1953,4,Belgian Grand Prix,1953-06-21T00:00:00
812,55,1953,5,French Grand Prix,1953-07-05T00:00:00
813,9,1953,6,British Grand Prix,1953-07-18T00:00:00
814,20,1953,7,German Grand Prix,1953-08-02T00:00:00
815,66,1953,8,Swiss Grand Prix,1953-08-23T00:00:00
816,14,1953,9,Italian Grand Prix,1953-09-13T00:00:00
