resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
3304,175,56,6,4,6,1,1,1,10.0,57,5701659,,,,,1
3305,175,49,17,8,5,2,2,2,6.0,57,5702686,,,,,1
3306,175,23,3,6,8,3,3,3,4.0,57,5708671,,,,,1
3307,175,21,22,9,7,4,4,4,3.0,57,5735077,,,,,1
3308,175,22,24,16,4,5,5,5,2.0,57,5756357,,,,,1
3309,175,37,21,14,18,6,6,6,1.0,57,5785976,,,,,1
3310,175,68,21,15,17,7,7,7,0.0,57,5787947,,,,,1
3311,175,30,6,3,3,8,8,8,0.0,56,,,,,,11
3312,175,41,16,23,19,,R,9,0.0,48,,,,,,6
3313,175,69,18,20,21,,R,10,0.0,42,,,,,,6
3314,175,25,22,10,10,,R,11,0.0,28,,,,,,22
3315,175,64,15,12,14,,R,12,0.0,27,,,,,,7
3316,175,48,18,21,22,,R,13,0.0,25,,,,,,4
3317,175,15,20,19,12,,R,14,0.0,25,,,,,,4
3318,175,44,20,18,20,,R,15,0.0,23,,,,,,36
3319,175,57,1,1,1,,R,16,0.0,21,,,,,,37
3320,175,70,3,5,15,,R,17,0.0,20,,,,,,20
3321,175,14,1,2,2,,R,18,0.0,13,,,,,,9
3322,175,35,16,22,11,,R,19,0.0,13,,,,,,65
3323,175,71,17,7,9,,R,20,0.0,0,,,,,,4
3324,175,55,15,11,16,,R,21,0.0,0,,,,,,6
3325,175,65,24,17,13,,W,22,0.0,0,,,,,,66
3326,176,57,1,1,1,1,1,1,10.0,72,5763785,,,,,1
3327,176,30,6,3,4,2,2,2,6.0,72,5768710,,,,,1
3328,176,49,17,8,8,3,3,3,4.0,71,,,,,,60
3329,176,23,3,6,11,4,4,4,3.0,71,,,,,,11
3330,176,56,6,4,6,5,5,5,2.0,71,,,,,,11
3331,176,44,20,18,12,6,6,6,1.0,71,,,,,,11
3332,176,25,22,10,9,7,7,7,0.0,70,,,,,,12
3333,176,68,21,15,19,8,8,8,0.0,69,,,,,,13
3334,176,48,18,21,20,9,9,9,0.0,69,,,,,,13
3335,176,37,21,14,17,,R,10,0.0,52,,,,,,9
3336,176,35,16,22,21,,R,11,0.0,49,,,,,,9
3337,176,70,3,5,16,,R,12,0.0,43,,,,,,6
3338,176,22,24,16,3,,R,13,0.0,42,,,,,,5
3339,176,64,15,12,15,,R,14,0.0,42,,,,,,4
3340,176,21,22,9,5,,R,15,0.0,38,,,,,,8
3341,176,72,18,20,18,,R,16,0.0,31,,,,,,20
3342,176,55,15,11,14,,R,17,0.0,27,,,,,,6
3343,176,14,1,2,2,,R,18,0.0,22,,,,,,6
3344,176,15,20,19,13,,R,19,0.0,21,,,,,,6
3345,176,65,24,17,10,,R,20,0.0,15,,,,,,9
3346,176,71,17,7,7,,R,21,0.0,10,,,,,,4
3347,176,41,16,23,0,,F,22,0.0,0,,,,,,81
3348,177,30,6,3,3,1,1,1,10.0,62,5624792,,,,,1
3349,177,14,1,2,2,2,2,2,6.0,62,5629057,,,,,1
3350,177,22,24,16,6,3,3,3,4.0,61,,,,,,11
3351,177,71,17,7,8,4,4,4,3.0,61,,,,,,11
3352,177,21,22,9,16,5,5,5,2.0,61,,,,,,11
3353,177,55,15,11,13,6,6,6,1.0,61,,,,,,11
3354,177,63,16,23,19,7,7,7,0.0,59,,,,,,13
3355,177,69,18,20,22,8,8,8,0.0,59,,,,,,13
3356,177,48,18,21,21,9,9,9,0.0,59,,,,,,13
3357,177,65,24,17,12,10,10,10,0.0,58,,,,,,5
3358,177,70,3,5,10,11,11,11,0.0,58,,,,,,20
3359,177,64,15,12,15,,R,12,0.0,49,,,,,,20
3360,177,44,20,18,11,,R,13,0.0,48,,,,,,37
3361,177,56,6,4,4,,R,14,0.0,46,,,,,,5
3362,177,49,17,8,7,,R,15,0.0,46,,,,,,20
3363,177,68,21,15,20,,R,16,0.0,29,,,,,,32
3364,177,23,3,6,9,,R,17,0.0,28,,,,,,37
3365,177,57,1,1,1,,R,18,0.0,17,,,,,,20
