resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
18289,756,356,170,24,3,1,1,1,9.0,100,10551300,,,,,1
18290,756,479,6,50,4,2,2,2,6.0,100,10571700,,,,,1
18291,756,427,170,32,6,3,3,3,4.0,98,,,,,,12
18292,756,403,6,48,5,4,4,4,3.0,97,,,,,,13
18293,756,360,170,22,13,5,5,5,2.0,96,,,,,,14
18294,756,456,167,38,8,6,6,6,0.0,83,,,,,,50
18295,756,475,170,30,1,,R,7,0.0,81,,,,,,7
18296,756,541,66,20,10,,R,8,0.0,64,,,,,,20
18297,756,501,66,16,9,,R,9,0.0,48,,,,,,3
18298,756,347,66,18,7,,R,10,0.0,44,,,,,,23
18299,756,554,6,46,2,,R,11,0.0,24,,,,,,5
18300,756,289,32,40,14,,R,12,0.0,21,,,,,,42
18301,756,418,170,26,11,,R,13,0.0,6,,,,,,6
18302,756,476,95,6,12,,R,14,0.0,1,,,,,,4
18303,756,477,6,52,15,,R,15,0.0,1,,,,,,4
18304,756,506,32,44,16,,R,16,0.0,1,,,,,,4
18305,756,549,170,34,0,,F,17,0.0,0,,,,,,81
18306,756,483,105,54,0,,F,18,0.0,0,,,,,,81
18307,756,550,170,12,0,,F,19,0.0,0,,,,,,81
18308,756,376,170,10,0,,F,20,0.0,0,,,,,,81
18309,756,551,95,4,0,,F,21,0.0,0,,,,,,81
18310,756,353,32,42,0,,F,22,0.0,0,,,,,,81
18311,756,552,170,14,0,,F,23,0.0,0,,,,,,81
18312,756,553,105,56,0,,F,24,0.0,0,,,,,,81
18313,757,449,107,5,6,1,1,1,8.0,200,13249200,,,,,1
18314,757,509,107,16,3,2,2,2,6.0,200,13272480,,,,,1
18315,757,512,110,3,1,3,3,3,5.0,200,13299840,,,,,1
18316,757,529,108,1,15,4,4,4,3.0,200,13356290,,,,,1
18317,757,510,108,99,16,5,5,5,2.0,200,13375640,,,,,1
18318,757,533,108,33,11,6,6,6,0.0,200,13446180,,,,,1
18319,757,518,113,37,12,7,7,7,0.0,200,13499120,,,,,1
18320,757,513,113,19,8,8,8,8,0.0,200,13499730,,,,,1
18321,757,555,113,45,27,9,9,9,0.0,200,13500240,,,,,1
18322,757,531,114,10,17,10,10,10,0.0,200,13503680,,,,,1
18323,757,520,114,88,9,11,11,11,0.0,200,13591680,,,,,1
18324,757,514,119,74,7,12,12,12,0.0,200,13618930,,,,,1
18325,757,538,120,89,23,13,13,13,0.0,200,13649600,,,,,1
18326,757,556,113,66,13,14,14,14,0.0,200,13650740,,,,,1
18327,757,557,113,71,21,15,15,15,0.0,200,13749060,,,,,1
18328,757,535,113,58,33,16,16,16,0.0,200,13950890,,,,,1
18329,757,527,114,44,2,,R,17,0.0,182,,,,,,20
18330,757,558,114,57,28,,R,18,0.0,163,,,,,,5
18331,757,559,107,64,18,,R,19,0.0,162,,,,,,3
18332,757,537,107,73,4,,R,20,0.0,150,,,,,,42
18333,757,560,114,53,30,,R,21,0.0,147,,,,,,121
18334,757,528,113,15,25,,R,22,0.0,136,,,,,,121
18335,757,561,121,49,32,,R,23,0.0,115,,,,,,3
18336,757,511,109,9,10,,R,24,0.0,112,,,,,,22
18337,757,516,113,65,24,,R,25,0.0,109,,,,,,5
18338,757,522,113,48,5,,R,26,0.0,85,,,,,,121
18339,757,562,115,24,14,,R,27,0.0,47,,,,,,95
18340,757,563,113,47,29,,R,28,0.0,45,,,,,,3
18341,757,564,113,7,19,,R,29,0.0,45,,,,,,3
18342,757,565,122,77,31,,R,30,0.0,45,,,,,,3
18343,757,517,113,87,26,,R,31,0.0,45,,,,,,3
18344,757,536,110,8,22,,R,32,0.0,34,,,,,,3
18345,757,525,108,6,20,,R,33,0.0,1,,,,,,5
18346,758,347,66,7,1,1,1,1,8.0,75,7526800,,,,,1
18347,758,356,170,8,2,2,2,2,6.0,75,7541000,,,,,1
18348,758,418,170,9,7,3,3,3,4.0,75,7609800,,,,,1
18349,758,404,32,12,9,4,4,4,3.0,74,,,,,,11
18350,758,554,6,1,4,5,5,5,2.0,74,,,,,,11
18351,758,403,6,3,12,6,6,6,0.0,73,,,,,,12
18352,758,289,32,14,5,7,7,7,0.0,73,,,,,,12
18353,758,427,170,10,11,8,8,8,0.0,73,,,,,,12
18354,758,477,6,16,15,9,9,9,0.0,71,,,,,,14
18355,758,430,95,15,14,10,10,10,0.0,68,,,,,,17
18356,758,475,170,11,3,,R,11,1.0,62,,,,,,6
18357,758,501,66,6,6,,R,12,0.0,46,,,,,,6
